Date,Open,High,Low,Close,Volume
9/9/2016,62.69,62.71,62.32,62.49,12587535
9/8/2016,62.45,63.29,62.33,63.24,9186287
9/7/2016,63.31,63.49,62.6,62.87,8668143
9/6/2016,62.99,63.47,62.77,63.24,7930326
9/2/2016,62.59,63.27,62.59,62.98,7529996
9/1/2016,62.7,62.98,62.39,62.9,6544694
8/31/2016,63.08,63.12,62.42,62.79,8860461
8/30/2016,62.96,63.03,62.5,62.71,6178036
8/29/2016,62.92,63.29,62.64,63.01,5575752
8/26/2016,62.48,62.99,62.18,62.85,7793815
8/25/2016,62.86,63.1,62.27,62.32,7947704
8/24/2016,63.6,63.78,62.51,62.73,7482902
8/23/2016,63.71,63.88,63.37,63.58,5798353
8/22/2016,63.25,63.64,63.08,63.55,6447228
8/19/2016,63.18,63.44,62.87,63.36,8480039
8/18/2016,63.08,63.64,63.08,63.63,6926572
8/17/2016,63.03,63.43,62.6,63.29,8271531
8/16/2016,63,63.32,62.84,63.04,5680058
8/15/2016,63.35,63.75,63.21,63.32,6650069
8/12/2016,63.14,63.45,62.93,63.35,6244281
8/11/2016,62.61,63.73,62.48,63.63,10365025
8/10/2016,62.09,63.1,62.07,62.64,8835354
8/9/2016,62.86,63.14,62.43,62.49,12234367
8/8/2016,62.66,63.02,61.95,62.86,25045945
8/5/2016,62.51,64,60.74,63.86,72875999
8/4/2016,57.74,58.23,57.74,57.84,5541434
8/3/2016,58.17,58.3,57.18,57.65,9637335
8/2/2016,58.68,58.73,58.25,58.33,6826271
8/1/2016,58.83,59,58.5,58.66,8871180
7/29/2016,59.01,59.2,58.27,58.66,8491237
7/28/2016,58.52,58.59,58.11,58.43,7289712
7/27/2016,58.39,58.72,57.93,58.6,7888803
7/26/2016,58.7,58.81,58.14,58.36,7150768
7/25/2016,58.63,58.88,57.98,58.56,8037217
7/22/2016,58.99,59.08,58.55,58.82,6269481
7/21/2016,59,59.1,58.56,58.79,6127255
7/20/2016,59,59.12,58.76,58.79,6476048
7/19/2016,59.08,59.5,58.56,58.66,8881337
7/18/2016,59,59.49,58.72,59.02,8769171
7/15/2016,59.8,59.93,59.25,59.63,8162693
7/14/2016,59.87,59.93,59.48,59.65,7345481
7/13/2016,59.78,59.95,59.48,59.55,6793185
7/12/2016,59.27,59.79,59.08,59.6,8401273
7/11/2016,59.26,59.75,59.2,59.34,7336741
7/8/2016,58.98,59.57,58.8,59.35,9479430
7/7/2016,58.89,59.02,58.29,58.78,9351899
7/6/2016,58.27,59.27,58.07,59.16,14327651
7/5/2016,57.78,58.17,57.78,58,7394103
7/1/2016,57.54,58,57.42,57.94,7868316
6/30/2016,57.15,57.68,56.91,57.61,9277691
6/29/2016,56.14,57.14,55.98,57.05,9813760
6/28/2016,55.44,55.67,55.11,55.58,12760085
6/27/2016,55.49,55.68,55.1,55.31,13284551
6/24/2016,56.04,57.07,55.77,55.88,17258559
6/23/2016,57.48,57.68,57.1,57.68,6968390
6/22/2016,56.14,57.27,56.1,57.04,12477501
6/21/2016,56.54,56.67,56.24,56.25,6402993
6/20/2016,56.34,56.6,56.12,56.14,8698721
6/17/2016,57.43,57.43,55.7,55.89,17484401
6/16/2016,56.99,57.67,56.13,57.5,22052207
6/15/2016,56.41,56.52,55.95,56.09,7648763
6/14/2016,55.77,56.31,55.62,56.25,8594183
6/13/2016,56.18,56.68,56.09,56.11,6204834
6/10/2016,56.82,57.08,56.57,56.81,9531715
6/9/2016,57.51,57.82,56.93,57.18,9227682
